Batsman,Batting_Position,runs_scored,balls_faced,4s,6s,Team,opponent,out,venue,won
Karun Nair,4,3,5,0,0,KXIP,RR,1,Jaipur,0
Akshadeep Nath,5,9,13,1,0,KXIP,RR,1,Jaipur,0
Manoj Tiwari,6,7,8,0,0,KXIP,RR,1,Jaipur,0
Axar Patel,7,9,5,1,0,KXIP,RR,1,Jaipur,0
Marcus Stoinis,8,11,16,0,0,KXIP,RR,1,Jaipur,0
Andrew Tye,9,1,1,0,0,KXIP,RR,0,Jaipur,0
SK Yadav,1,36,32,5,1,MI,KKR,1,Eden Gardens,1
Evin Lewis,2,18,13,3,0,MI,KKR,1,Eden Gardens,1
Rohit Sharma,3,36,31,2,1,MI,KKR,1,Eden Gardens,1
Ishan Kishan,4,62,21,5,6,MI,KKR,1,Eden Gardens,1
Hardik Pandya,5,19,13,0,2,MI,KKR,1,Eden Gardens,1
Ben Cutting,6,24,9,1,3,MI,KKR,1,Eden Gardens,1
Krunal Pandya,7,8,2,0,1,MI,KKR,0,Eden Gardens,1
JP Duminy,8,0,0,0,0,MI,KKR,0,Eden Gardens,1
Sunil Narine,1,4,2,1,0,KKR,MI,1,Eden Gardens,0
Chris Lynn,2,21,15,3,1,KKR,MI,1,Eden Gardens,0
Robin Uthappa,3,14,13,0,2,KKR,MI,1,Eden Gardens,0
Nitesh Rana,4,21,19,2,1,KKR,MI,1,Eden Gardens,0
Russel,5,2,4,0,0,KKR,MI,1,Eden Gardens,0
Dinesh Karthik,6,5,3,1,0,KKR,MI,1,Eden Gardens,0
Rinku Singh,7,5,3,1,0,KKR,MI,1,Eden Gardens,0
Tom Curran,8,18,17,3,0,KKR,MI,1,Eden Gardens,0
Chawla,9,11,13,1,0,KKR,MI,1,Eden Gardens,0
Kuldeep Yadav,10,5,15,0,0,KKR,MI,1,Eden Gardens,0
Prasidh Krishna,11,1,5,0,0,KKR,MI,0,Eden Gardens,0
Prithvi Shaw,1,9,11,1,0,DD,SRH,1,Delhi,0
Jason Roy,2,11,13,2,0,DD,SRH,1,Delhi,0
Shreyas Iyer,3,3,8,0,0,DD,SRH,1,Delhi,0
Rishab Pant,4,128,63,15,7,DD,SRH,0,Delhi,0
Harshal Patel,5,24,17,0,2,DD,SRH,1,Delhi,0
Glenn Maxwell,6,9,8,1,0,DD,SRH,1,Delhi,0
Vijay Shankar,7,0,0,0,0,DD,SRH,0,Delhi,0
Hales,1,14,10,3,0,SRH,DD,1,Delhi,1
Shikhar Dhawan,2,92,50,9,4,SRH,DD,0,Delhi,1
Kane Williamson,3,83,53,8,2,SRH,DD,0,Delhi,1
Shane Watson,1,39,31,2,2,CSK,RR,1,Jaipur,0
Ambati Rayudu,2,12,9,2,0,CSK,RR,1,Jaipur,0
Suresh Raina,3,52,35,6,1,CSK,RR,1,Jaipur,0
MS Dhoni,4,33,23,1,1,CSK,RR,0,Jaipur,0
Sam Billings,5,27,22,3,0,CSK,RR,1,Jaipur,0
DJ Bravo,6,1,1,0,0,CSK,RR,0,Jaipur,0
Jos Butler,1,95,60,11,2,RR,CSK,0,Jaipur,1
Ben Stokes,2,11,7,1,1,RR,CSK,1,Jaipur,1
Ajinkya Rahane,3,4,3,1,0,RR,CSK,1,Jaipur,1
Sanju Samson,4,21,22,2,0,RR,CSK,1,Jaipur,1
P Chopra,5,8,6,2,0,RR,CSK,1,Jaipur,1
Binny,6,22,17,1,1,RR,CSK,1,Jaipur,1
K Gowtham,7,13,4,0,2,RR,CSK,1,Jaipur,1
Archer,8,0,0,0,0,RR,CSK,0,Jaipur,1
Chris Lynn,1,27,17,2,2,KKR,KXIP,1,Indore,1
Sunil Narine,2,75,36,9,4,KKR,KXIP,1,Indore,1
Robin Uthappa,3,24,17,2,1,KKR,KXIP,1,Indore,1
Russel,4,31,14,2,3,KKR,KXIP,1,Indore,1
Dinesh Karthik,5,50,23,5,3,KKR,KXIP,1,Indore,1
Nitesh Rana,6,11,4,1,1,KKR,KXIP,1,Indore,1
Shubman Gill,7,16,8,3,0,KKR,KXIP,0,Indore,1
Searles,8,6,1,0,1,KKR,KXIP,0,Indore,1
KL Rahul,1,66,29,2,7,KXIP,KKR,1,Indore,0
Chris Gayle,2,21,17,2,1,KXIP,KKR,1,Indore,0
Mayank Agarwal,3,0,1,0,0,KXIP,KKR,1,Indore,0
Karun Nair,4,3,6,0,0,KXIP,KKR,1,Indore,0
Aron Finch,5,34,20,0,3,KXIP,KKR,1,Indore,0
Axar Patel,6,19,11,2,1,KXIP,KKR,1,Indore,0
Ashwin,7,45,22,4,3,KXIP,KKR,1,Indore,0
Andrew Tye,8,14,10,1,1,KXIP,KKR,1,Indore,0
Sran,9,1,1,0,0,KXIP,KKR,0,Indore,0
Mohit Sharma,10,4,3,1,0,KXIP,KKR,0,Indore,0
Prithvi Shaw,1,2,4,0,0,DD,RCB,1,Delhi,0
Jason Roy,2,12,9,1,1,DD,RCB,1,Delhi,0
Shreyas Iyer,3,32,35,3,0,DD,RCB,1,Delhi,0
Rishab Pant,4,61,34,5,4,DD,RCB,1,Delhi,0
Vijay Shankar,5,21,20,2,0,DD,RCB,0,Delhi,0
Abhishek Sharma,6,46,19,3,4,DD,RCB,0,Delhi,0
Parthiv Patel,1,6,8,1,0,RCB,DD,1,Delhi,1
Moen Ali,2,1,3,0,0,RCB,DD,1,Delhi,1
Virat Kohli,3,70,40,7,3,RCB,DD,1,Delhi,1
AB Devilliers,4,72,37,4,6,RCB,DD,0,Delhi,1
Mandeep Singh,5,13,14,0,1,RCB,DD,1,Delhi,1
Sarfraz Khan,6,11,8,2,0,RCB,DD,1,Delhi,1
Grandhome,7,3,4,0,0,RCB,DD,0,Delhi,1
Shikhar Dhawan,1,79,49,10,3,SRH,CSK,1,Pune,0
Hales,2,2,9,0,0,SRH,CSK,1,Pune,0
Kane Williamson,3,51,39,5,2,SRH,CSK,1,Pune,0
Manish Pandey,4,5,6,0,0,SRH,CSK,1,Pune,0
Deepak Hooda,5,21,11,1,1,SRH,CSK,0,Pune,0
Shakib,6,8,6,1,0,SRH,CSK,0,Pune,0
Shane Watson,1,57,35,5,3,CSK,SRH,1,Pune,1
Ambati Rayudu,2,100,62,7,7,CSK,SRH,0,Pune,1
Suresh Raina,3,2,3,0,0,CSK,SRH,1,Pune,1
MS Dhoni,4,20,14,1,1,CSK,SRH,0,Pune,1
SK Yadav,1,38,31,7,0,MI,RR,1,Wankhade,0
Evin Lewis,2,60,42,4,4,MI,RR,1,Wankhade,0
Rohit Sharma,3,0,1,0,0,MI,RR,1,Wankhade,0
Ishan Kishan,4,12,11,1,0,MI,RR,1,Wankhade,0
Hardik Pandya,5,36,21,3,2,MI,RR,1,Wankhade,0
Krunal Pandya,6,3,7,0,0,MI,RR,1,Wankhade,0
Ben Cutting,7,10,7,0,1,MI,RR,0,Wankhade,0
JP Duminy,8,0,0,0,0,MI,RR,0,Wankhade,0
Darcy Short,1,4,5,1,0,RR,MI,1,Wankhade,1
Jos Butler,2,94,53,9,5,RR,MI,0,Wankhade,1
Ajinkya Rahane,3,37,36,4,0,RR,MI,1,Wankhade,1
Sanju Samson,4,26,14,2,2,RR,MI,1,Wankhade,1
Ben Stokes,5,0,0,0,0,RR,MI,0,Wankhade,1
KL Rahul,1,21,15,0,3,KXIP,RCB,1,Indore,0
Chris Gayle,2,18,14,4,0,KXIP,RCB,1,Indore,0
Karun Nair,3,1,3,0,0,KXIP,RCB,1,Indore,0
Aron Finch,4,26,23,1,2,KXIP,RCB,1,Indore,0
Marcus Stoinis,5,2,3,0,0,KXIP,RCB,1,Indore,0
Mayank Agarwal,6,2,6,0,0,KXIP,RCB,1,Indore,0
Axar Patel,7,9,13,0,0,KXIP,RCB,0,Indore,0
Ashwin,8,0,1,0,0,KXIP,RCB,1,Indore,0
Andrew Tye,9,0,3,0,0,KXIP,RCB,1,Indore,0
Mohit Sharma,10,3,5,0,0,KXIP,RCB,1,Indore,0
Ankit Rajpoot,11,1,5,0,0,KXIP,RCB,1,Indore,0
Virat Kohli,1,48,28,6,2,RCB,KXIP,0,Indore,1
Parthiv Patel,2,40,22,7,0,RCB,KXIP,0,Indore,1
Rahul Tripathi,1,27,15,4,1,RR,KKR,1,Eden Gardens,0
Jos Butler,2,39,22,5,2,RR,KKR,1,Eden Gardens,0
Ajinkya Rahane,3,11,12,1,0,RR,KKR,1,Eden Gardens,0
Sanju Samson,4,12,10,2,0,RR,KKR,1,Eden Gardens,0
Ben Stokes,5,11,13,0,0,RR,KKR,1,Eden Gardens,0
Binny,6,1,4,0,0,RR,KKR,1,Eden Gardens,0
K Gowtham,7,3,5,0,0,RR,KKR,1,Eden Gardens,0
Jayadev Unadkat,8,26,18,3,1,RR,KKR,1,Eden Gardens,0
Ish Sodhi,9,1,6,0,0,RR,KKR,1,Eden Gardens,0
Archer,10,6,5,1,0,RR,KKR,1,Eden Gardens,0
Anureet Singh,11,3,4,0,0,RR,KKR,0,Eden Gardens,0
Sunil Narine,1,21,7,2,2,KKR,RR,1,Eden Gardens,1
Chris Lynn,2,45,42,5,1,KKR,RR,1,Eden Gardens,1
Robin Uthappa,3,4,6,0,0,KKR,RR,1,Eden Gardens,1
Nitesh Rana,4,21,17,2,1,KKR,RR,1,Eden Gardens,1
Dinesh Karthik,5,41,31,5,1,KKR,RR,0,Eden Gardens,1
Russel,6,11,5,2,0,KKR,RR,0,Eden Gardens,1
SK Yadav,1,27,15,3,2,MI,KXIP,1,Wankhade,1
Evin Lewis,2,9,7,0,1,MI,KXIP,1,Wankhade,1
Ishan Kishan,3,20,12,1,2,MI,KXIP,1,Wankhade,1
Rohit Sharma,4,6,10,0,0,MI,KXIP,1,Wankhade,1
Krunal Pandya,5,32,23,1,2,MI,KXIP,1,Wankhade,1
Pollard,6,50,23,5,3,MI,KXIP,1,Wankhade,1
Hardik Pandya,7,9,12,0,0,MI,KXIP,1,Wankhade,1
Ben Cutting,8,4,7,0,0,MI,KXIP,1,Wankhade,1
McClenaghan,9,11,7,1,1,MI,KXIP,0,Wankhade,1
Markhande,10,7,5,1,0,MI,KXIP,0,Wankhade,1
KL Rahul,1,94,60,10,3,KXIP,MI,1,Wankhade,0
Chris Gayle,2,18,11,2,1,KXIP,MI,1,Wankhade,0
Aron Finch,3,46,35,3,1,KXIP,MI,1,Wankhade,0
Marcus Stoinis,4,1,2,0,0,KXIP,MI,1,Wankhade,0
Axar Patel,5,10,8,0,1,KXIP,MI,0,Wankhade,0
Yuvraj Singh,6,1,3,0,0,KXIP,MI,1,Wankhade,0
Manoj Tiwari,7,4,1,1,0,KXIP,MI,0,Wankhade,0
Parthiv Patel,1,1,4,0,0,RCB,SRH,1,Bangalore,1
Virat Kohli,2,12,11,2,0,RCB,SRH,1,Bangalore,1
AB Devilliers,3,69,39,12,1,RCB,SRH,1,Bangalore,1
Moen Ali,4,65,34,2,6,RCB,SRH,1,Bangalore,1
Grandhome,5,40,17,1,4,RCB,SRH,1,Bangalore,1
Mandeep Singh,6,4,6,0,0,RCB,SRH,1,Bangalore,1
Sarfraz Khan,7,22,8,3,1,RCB,SRH,0,Bangalore,1
Southee,8,1,1,0,0,RCB,SRH,0,Bangalore,1
Shikhar Dhawan,1,18,15,0,2,SRH,RCB,1,Bangalore,0
Hales,2,37,24,2,3,SRH,RCB,1,Bangalore,0
Kane Williamson,3,81,42,7,5,SRH,RCB,1,Bangalore,0
Manish Pandey,4,62,38,7,2,SRH,RCB,0,Bangalore,0
Deepak Hooda,5,1,1,0,0,SRH,RCB,0,Bangalore,0
Prithvi Shaw,1,17,17,1,1,DD,CSK,1,Delhi,1
Shreyas Iyer,2,19,22,3,0,DD,CSK,1,Delhi,1
Rishab Pant,3,38,26,3,2,DD,CSK,1,Delhi,1
Glenn Maxwell,4,5,7,0,0,DD,CSK,1,Delhi,1
Vijay Shankar,5,36,28,2,2,DD,CSK,0,Delhi,1
Abhishek Sharma,6,2,4,0,0,DD,CSK,1,Delhi,1
Harshal Patel,7,36,16,1,4,DD,CSK,0,Delhi,1
Shane Watson,1,14,23,0,1,CSK,DD,1,Delhi,0
Ambati Rayudu,2,50,29,4,4,CSK,DD,1,Delhi,0
Suresh Raina,3,15,18,1,0,CSK,DD,1,Delhi,0
MS Dhoni,4,17,23,1,0,CSK,DD,1,Delhi,0
Sam Billings,5,1,5,0,0,CSK,DD,1,Delhi,0
R Jadeja,6,27,18,0,2,CSK,DD,0,Delhi,0
DJ Bravo,7,1,2,0,0,CSK,DD,1,Delhi,0
Deepak Chahar,8,1,2,0,0,CSK,DD,0,Delhi,0
Rahul Tripathi,1,80,58,5,3,RR,RCB,0,Jaipur,1
Archer,2,0,4,0,0,RR,RCB,1,Jaipur,1
Ajinkya Rahane,3,33,31,3,0,RR,RCB,1,Jaipur,1
Sanju Samson,4,0,1,0,0,RR,RCB,1,Jaipur,1
Klassen,5,32,21,3,1,RR,RCB,1,Jaipur,1
K Gowtham,6,14,5,0,2,RR,RCB,1,Jaipur,1
Virat Kohli,1,4,9,0,0,RCB,RR,1,Jaipur,0
Parthiv Patel,2,33,21,3,2,RCB,RR,1,Jaipur,0
AB Devilliers,3,53,35,7,0,RCB,RR,1,Jaipur,0
Moen Ali,4,1,2,0,0,RCB,RR,1,Jaipur,0
Mandeep Singh,5,3,4,0,0,RCB,RR,1,Jaipur,0
Grandhome,6,2,3,0,0,RCB,RR,1,Jaipur,0
Sarfraz Khan,7,7,8,1,0,RCB,RR,1,Jaipur,0
Southee,8,14,17,2,0,RCB,RR,1,Jaipur,0
Umesh Yadav,9,0,1,0,0,RCB,RR,1,Jaipur,0
Siraj,10,14,12,2,0,RCB,RR,1,Jaipur,0
Chahal,11,0,4,0,0,RCB,RR,0,Jaipur,0
Shikhar Dhawan,1,50,39,5,1,SRH,KKR,1,Hyderabad,0
Goswami,2,35,26,4,1,SRH,KKR,1,Hyderabad,0
Kane Williamson,3,36,17,1,3,SRH,KKR,1,Hyderabad,0
Manish Pandey,4,25,22,2,1,SRH,KKR,1,Hyderabad,0
Yusuf Pathan,5,2,4,0,0,SRH,KKR,1,Hyderabad,0
Brathwaite,6,3,4,0,0,SRH,KKR,1,Hyderabad,0
Shakib,7,10,7,2,0,SRH,KKR,1,Hyderabad,0
Rashid Khan,8,0,1,0,0,SRH,KKR,1,Hyderabad,0
Bhuvi,9,0,1,0,0,SRH,KKR,1,Hyderabad,0
Siddardh Kaul,10,0,0,0,0,SRH,KKR,0,Hyderabad,0
Chris Lynn,1,55,43,4,3,KKR,SRH,1,Hyderabad,1
Sunil Narine,2,29,10,4,2,KKR,SRH,1,Hyderabad,1
Robin Uthappa,3,45,34,3,2,KKR,SRH,1,Hyderabad,1
Dinesh Karthik,4,26,22,1,1,KKR,SRH,0,Hyderabad,1
Russel,5,4,4,1,0,KKR,SRH,1,Hyderabad,1
Nitesh Rana,6,7,5,1,0,KKR,SRH,1,Hyderabad,1
Shubman Gill,7,0,0,0,0,KKR,SRH,0,Hyderabad,1
Prithvi Shaw,1,12,8,2,0,DD,MI,1,Delhi,1
Glenn Maxwell,2,22,18,4,0,DD,MI,1,Delhi,1
Shreyas Iyer,3,6,10,0,0,DD,MI,1,Delhi,1
Rishab Pant,4,64,44,4,4,DD,MI,1,Delhi,1
Vijay Shankar,5,43,30,3,2,DD,MI,0,Delhi,1
Abhishek Sharma,6,15,10,0,1,DD,MI,0,Delhi,1
SK Yadav,1,12,4,1,1,MI,DD,1,Delhi,0
Evin Lewis,2,48,31,3,4,MI,DD,1,Delhi,0
Ishan Kishan,3,5,13,0,0,MI,DD,1,Delhi,0
Pollard,4,7,7,0,0,MI,DD,1,Delhi,0
Rohit Sharma,5,13,11,1,0,MI,DD,1,Delhi,0
Krunal Pandya,6,4,3,1,0,MI,DD,1,Delhi,0
Hardik Pandya,7,27,17,2,1,MI,DD,1,Delhi,0
Ben Cutting,8,37,20,2,3,MI,DD,1,Delhi,0
Markhande,9,3,10,0,0,MI,DD,1,Delhi,0
Bumrah,10,0,1,0,0,MI,DD,1,Delhi,0
Mustafizur,11,0,0,0,0,MI,DD,0,Delhi,0
KL Rahul,1,7,11,1,0,KXIP,CSK,1,Pune,0
Chris Gayle,2,0,2,0,0,KXIP,CSK,1,Pune,0
Aron Finch,3,4,6,1,0,KXIP,CSK,1,Pune,0
Manoj Tiwari,4,35,30,3,1,KXIP,CSK,1,Pune,0
David Miller,5,24,22,1,1,KXIP,CSK,1,Pune,0
Karun Nair,6,54,26,3,5,KXIP,CSK,1,Pune,0
Axar Patel,7,14,12,0,1,KXIP,CSK,1,Pune,0
Ashwin,8,0,1,0,0,KXIP,CSK,1,Pune,0
Andrew Tye,9,0,2,0,0,KXIP,CSK,1,Pune,0
Mohit Sharma,10,2,3,0,0,KXIP,CSK,0,Pune,0
Ankit Rajpoot,11,2,4,0,0,KXIP,CSK,1,Pune,0
Ambati Rayudu,1,1,3,0,0,CSK,KXIP,1,Pune,1
Faf Duplessis,2,14,15,3,0,CSK,KXIP,1,Pune,1
Suresh Raina,3,61,48,4,2,CSK,KXIP,0,Pune,1
Sam Billings,4,0,1,0,0,CSK,KXIP,1,Pune,1
Harbhajan Singh,5,19,22,2,1,CSK,KXIP,1,Pune,1
Deepak Chahar,6,39,20,1,3,CSK,KXIP,1,Pune,1
MS Dhoni,7,16,7,1,1,CSK,KXIP,0,Pune,1
Shikhar Dhawan,1,0,1,0,0,SRH,CSK,1,Wankhade,0
Goswami,2,12,9,2,0,SRH,CSK,1,Wankhade,0
Kane Williamson,3,24,15,4,0,SRH,CSK,1,Wankhade,0
Manish Pandey,4,8,16,0,0,SRH,CSK,1,Wankhade,0
Shakib,5,12,10,2,0,SRH,CSK,1,Wankhade,0
Yusuf Pathan,6,24,29,3,0,SRH,CSK,1,Wankhade,0
Brathwaite,7,43,29,1,4,SRH,CSK,0,Wankhade,0
Bhuvi,8,7,11,0,0,SRH,CSK,1,Wankhade,0
Shane Watson,1,0,5,0,0,CSK,SRH,1,Wankhade,1
Faf Duplessis,2,67,42,5,4,CSK,SRH,0,Wankhade,1
Suresh Raina,3,22,13,4,0,CSK,SRH,1,Wankhade,1
Ambati Rayudu,4,0,1,0,0,CSK,SRH,1,Wankhade,1
MS Dhoni,5,9,18,1,0,CSK,SRH,1,Wankhade,1
DJ Bravo,6,7,11,0,0,CSK,SRH,1,Wankhade,1
R Jadeja,7,3,5,0,0,CSK,SRH,1,Wankhade,1
Deepak Chahar,8,10,6,0,1,CSK,SRH,1,Wankhade,1
Harbhajan Singh,9,2,9,0,0,CSK,SRH,1,Wankhade,1
Shardul Thakur,10,15,5,3,0,CSK,SRH,0,Wankhade,1
Sunil Narine,1,4,2,1,0,KKR,RR,1,Eden Gardens,1
Chris Lynn,2,18,22,2,0,KKR,RR,1,Eden Gardens,1
Robin Uthappa,3,3,7,0,0,KKR,RR,1,Eden Gardens,1
Nitesh Rana,4,3,5,0,0,KKR,RR,1,Eden Gardens,1
Dinesh Karthik,5,52,38,4,2,KKR,RR,1,Eden Gardens,1
Shubman Gill,6,28,17,3,1,KKR,RR,1,Eden Gardens,1
Russel,7,49,25,3,5,KKR,RR,0,Eden Gardens,1
Searles,8,2,5,0,0,KKR,RR,1,Eden Gardens,1
Chawla,9,0,0,0,0,KKR,RR,0,Eden Gardens,1
Ajinkya Rahane,1,46,41,4,1,RR,KKR,1,Eden Gardens,0
Rahul Tripathi,2,20,13,1,2,RR,KKR,1,Eden Gardens,0
Sanju Samson,3,50,38,4,2,RR,KKR,1,Eden Gardens,0
Klassen,4,18,18,1,0,RR,KKR,0,Eden Gardens,0
Binny,5,0,3,0,0,RR,KKR,1,Eden Gardens,0
K Gowtham,6,9,7,1,0,RR,KKR,0,Eden Gardens,0
Saha,1,35,27,5,0,SRH,KKR,1,Eden Gardens,1
Shikhar Dhawan,2,34,24,4,1,SRH,KKR,1,Eden Gardens,1
Kane Williamson,3,3,3,0,0,SRH,KKR,1,Eden Gardens,1
Shakib,4,28,24,4,0,SRH,KKR,1,Eden Gardens,1
Deepak Hooda,5,19,19,0,1,SRH,KKR,1,Eden Gardens,1
Yusuf Pathan,6,3,7,0,0,SRH,KKR,1,Eden Gardens,1
Brathwaite,7,8,4,0,1,SRH,KKR,1,Eden Gardens,1
Rashid Khan,8,34,10,2,4,SRH,KKR,0,Eden Gardens,1
Bhuvi,9,5,2,1,0,SRH,KKR,0,Eden Gardens,1
Chris Lynn,1,48,31,6,2,KKR,SRH,1,Eden Gardens,0
Sunil Narine,2,26,13,4,1,KKR,SRH,1,Eden Gardens,0
Nitesh Rana,3,22,16,1,2,KKR,SRH,1,Eden Gardens,0
Robin Uthappa,4,2,8,0,0,KKR,SRH,1,Eden Gardens,0
Dinesh Karthik,5,8,6,1,0,KKR,SRH,1,Eden Gardens,0
Shubman Gill,6,30,20,2,1,KKR,SRH,1,Eden Gardens,0
Russel,7,3,7,0,0,KKR,SRH,1,Eden Gardens,0
Chawla,8,12,12,0,1,KKR,SRH,1,Eden Gardens,0
Shivam Mavi,9,6,4,1,0,KKR,SRH,1,Eden Gardens,0
Kuldeep Yadav,10,0,3,0,0,KKR,SRH,0,Eden Gardens,0
Prasidh Krishna,11,0,0,0,0,KKR,SRH,0,Eden Gardens,0
Goswami,1,5,5,0,0,SRH,CSK,1,Wankhade,0
Shikhar Dhawan,2,26,25,2,1,SRH,CSK,1,Wankhade,0
Kane Williamson,3,47,36,5,2,SRH,CSK,1,Wankhade,0
Shakib,4,23,15,2,1,SRH,CSK,1,Wankhade,0
Yusuf Pathan,5,45,25,4,2,SRH,CSK,0,Wankhade,0
Deepak Hooda,6,3,4,0,0,SRH,CSK,1,Wankhade,0
Brathwaite,7,21,11,0,3,SRH,CSK,1,Wankhade,0
Shane Watson,1,117,57,11,8,CSK,SRH,0,Wankhade,1
Faf Duplessis,2,10,11,1,0,CSK,SRH,1,Wankhade,1
Suresh Raina,3,32,24,3,1,CSK,SRH,1,Wankhade,1
Ambati Rayudu,4,16,19,1,1,CSK,SRH,0,Wankhade,1
